year,quarter,TotalkWh,TotalAccounts,temperature_2m_max,temperature_2m_min,cumulative_solar,BEV,PHEV,load_per_account,delta_totalkwh,delta_totalaccounts,delta_load_per_account,Income_Median,Pct_Multifamily,Locale,Pct_Rentalunits,Educ_Attainment_L5,Pct no vehicles,CommuteGr45min,Commute15min,Commute30min,Total_Pop,Total_Pop_Median_age,GRAPI_<30%,GRAPI_>30%,zip_code
2019,1,3505981.0,8234.0,16.568888,8.748888,320.0,86.0,99.0,425.7931746417294,463152.0,-9.33333333333394,56.66713339627859,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2019,2,2709703.0,8228.0,21.338516,12.952802,320.0,86.0,99.0,329.3270539620807,-796278.0,-6.0,-96.46612067964872,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2019,3,3310230.333333333,8224.666666666666,27.460436,17.489782,320.0,86.0,99.0,402.47592607603144,600527.333333333,-3.3333333333339397,73.14887211395074,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2019,4,3111212.6666666665,8251.666666666666,21.741413,12.1348915,320.0,86.0,99.0,377.04051706725915,-199017.6666666665,27.0,-25.435409008772297,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2020,1,3288878.333333333,8284.666666666666,18.521482,9.552802,415.0,123.0,113.0,396.9837853061881,177665.6666666665,33.0,19.943268238928965,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2020,2,3129129.6666666665,8300.666666666666,23.278625,14.058297,415.0,123.0,113.0,376.9732953176452,-159748.6666666665,16.0,-20.01048998854293,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2020,3,3678793.6666666665,8313.666666666666,28.95174,17.91913,415.0,123.0,113.0,442.49953891183196,549664.0,13.0,65.52624359418678,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2020,4,3561282.333333333,8320.333333333334,23.085978,13.106629,415.0,123.0,113.0,428.0215936861503,-117511.33333333349,6.666666666667879,-14.477945225681651,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2021,1,3486056.6666666665,8311.333333333334,19.145555,9.275,470.0,202.0,134.0,419.4341060399454,-75225.66666666651,-9.0,-8.58748764620492,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2021,2,2710029.6666666665,8245.666666666666,23.353352,13.432472,470.0,202.0,134.0,328.6610745037798,-776027.0,-65.66666666666788,-90.7730315361656,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2021,3,3288866.6666666665,8260.0,27.739782,17.481087,470.0,202.0,134.0,398.1678773204197,578837.0,14.33333333333394,69.50680281663989,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2021,4,3058621.6666666665,8264.666666666666,21.003912,12.154456,470.0,202.0,134.0,370.08409292570786,-230245.0,4.66666666666606,-28.083784394711813,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2022,1,3293284.6666666665,8272.333333333334,20.286112,10.600555,546.0,342.0,151.0,398.1083128500624,234663.0,7.666666666667879,28.024219924354554,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2022,2,2652678.333333333,8319.0,23.980824,13.996209,546.0,342.0,151.0,318.86985615258243,-640606.3333333335,46.66666666666606,-79.23845669747999,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2022,3,3570879.333333333,8298.0,28.699566,18.679998,546.0,342.0,151.0,430.33011970756,918201.0,-21.0,111.46026355497759,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2022,4,3196646.6666666665,8297.0,20.258804,11.9718485,546.0,342.0,151.0,385.2774095054437,-374232.6666666665,-1.0,-45.052710202116316,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2023,2,2584273.0,8333.333333333334,19.802801,12.12423,547.0,541.0,179.0,310.11276,-612373.6666666665,36.33333333333394,-75.16464950544372,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2023,3,3206623.6666666665,8389.333333333334,27.543587,17.410978,547.0,541.0,179.0,382.22627940241574,622350.6666666665,56.0,72.11351940241576,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2023,4,2873012.0,8410.333333333334,22.691956,13.1566305,547.0,541.0,179.0,341.605009710277,-333611.6666666665,21.0,-40.62126969213875,33616.8571428571,22.8857142857,Small City,32.9,6.7428571429,3.9,22.5223267214,33.0491534257,44.1075896071,4092.2857142857,42.4714285714,42.6857142857,57.3,90249
2014,4,10329007.0,28152.0,23.77111,12.383064,104.0,44.0,65.0,366.9013569195794,0.0,0.0,0.0,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2015,1,9453671.0,26350.0,23.522112,10.638778,219.0,79.0,108.0,358.7730929791271,-875336.0,-1802.0,-8.128263940452314,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2015,2,9163723.0,28235.666666666668,24.676,13.405121,219.0,79.0,108.0,324.5442407357125,-289948.0,1885.6666666666679,-34.22885224341462,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2015,3,11129610.333333334,28214.666666666668,30.102629,18.839045,219.0,79.0,108.0,394.46187562024477,1965887.333333334,-21.0,69.91763488453228,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2015,4,11073869.666666666,28259.666666666668,23.809694,11.786869,219.0,79.0,108.0,391.8612981988464,-55740.66666666791,45.0,-2.600577421398384,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2016,1,10378238.0,28259.0,21.602373,9.636989,379.0,102.0,156.0,367.2542552815032,-695631.666666666,-0.6666666666678793,-24.607042917343165,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2016,2,9028989.333333334,28252.666666666668,25.084242,13.747429,379.0,102.0,156.0,319.58007503716465,-1349248.666666666,-6.333333333332121,-47.67418024433857,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2016,3,10784510.666666666,28246.33333333333,29.916218,17.91948,379.0,102.0,156.0,381.80214541120387,1755521.333333332,-6.333333333339397,62.22207037403922,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
